2026/09/25 09:26:50.287, 204 MiB, 36 %, 42, 210 MHz, 5.81 W, 0x0000000000000001
2026/09/25 09:26:52.290, 204 MiB, 49 %, 42, 210 MHz, 5.86 W, 0x0000000000000001
2026/09/25 09:26:54.306, 347 MiB, 8 %, 43, 2130 MHz, 16.02 W, 0x0000000000000000
2026/09/25 09:26:56.313, 475 MiB, 71 %, 53, 2475 MHz, 42.58 W, 0x0000000000000000
2026/09/25 09:26:58.319, 475 MiB, 65 %, 55, 2475 MHz, 56.08 W, 0x0000000000000000
2026/09/25 09:27:00.328, 475 MiB, 66 %, 56, 2475 MHz, 59.66 W, 0x0000000000000000
2026/09/25 09:27:02.336, 475 MiB, 70 %, 56, 2475 MHz, 57.67 W, 0x0000000000000000
2026/09/25 09:27:04.339, 475 MiB, 69 %, 57, 2475 MHz, 59.51 W, 0x0000000000000000
2026/09/25 09:27:06.346, 475 MiB, 70 %, 58, 2475 MHz, 60.78 W, 0x0000000000000000
2026/09/25 09:27:08.351, 475 MiB, 69 %, 60, 2460 MHz, 61.06 W, 0x0000000000000000
2026/09/25 09:27:10.352, 475 MiB, 68 %, 60, 2460 MHz, 61.62 W, 0x0000000000000000
2026/09/25 09:27:12.358, 475 MiB, 70 %, 61, 2460 MHz, 61.38 W, 0x0000000000000000
2026/09/25 09:27:14.361, 475 MiB, 70 %, 61, 2460 MHz, 59.40 W, 0x0000000000000000
2026/09/25 09:27:16.375, 475 MiB, 70 %, 62, 2460 MHz, 62.14 W, 0x0000000000000000
2026/09/25 09:27:18.380, 475 MiB, 70 %, 63, 2460 MHz, 61.50 W, 0x0000000000000000
2026/09/25 09:27:20.395, 475 MiB, 69 %, 64, 2460 MHz, 62.60 W, 0x0000000000000000
2026/09/25 09:27:22.404, 475 MiB, 71 %, 64, 2460 MHz, 62.85 W, 0x0000000000000000
2026/09/25 09:27:24.416, 731 MiB, 70 %, 65, 2460 MHz, 62.29 W, 0x0000000000000000
2026/09/25 09:27:26.429, 731 MiB, 69 %, 65, 2460 MHz, 62.75 W, 0x0000000000000000
2026/09/25 09:27:28.435, 731 MiB, 70 %, 66, 2460 MHz, 62.33 W, 0x0000000000000000
2026/09/25 09:27:30.440, 731 MiB, 70 %, 66, 2460 MHz, 63.07 W, 0x0000000000000000
2026/09/25 09:27:32.454, 731 MiB, 71 %, 66, 2460 MHz, 62.45 W, 0x0000000000000000
2026/09/25 09:27:34.459, 731 MiB, 72 %, 67, 2460 MHz, 63.05 W, 0x0000000000000000
2026/09/25 09:27:36.471, 731 MiB, 71 %, 67, 2460 MHz, 62.38 W, 0x0000000000000000
2026/09/25 09:27:38.483, 731 MiB, 68 %, 68, 2460 MHz, 63.29 W, 0x0000000000000000
