2026/09/24 11:01:34.414, 332 MiB, 30 %, 51, 210 MHz, 3.94 W, 0x0000000000000001
2026/09/24 11:01:36.417, 474 MiB, 7 %, 52, 2130 MHz, 16.30 W, 0x0000000000000000
2026/09/24 11:01:38.421, 538 MiB, 8 %, 52, 2130 MHz, 16.81 W, 0x0000000000000000
2026/09/24 11:01:40.431, 666 MiB, 61 %, 60, 2475 MHz, 45.58 W, 0x0000000000000000
2026/09/24 11:01:42.435, 666 MiB, 62 %, 60, 2475 MHz, 38.30 W, 0x0000000000000000
2026/09/24 11:01:44.444, 666 MiB, 59 %, 61, 2460 MHz, 48.72 W, 0x0000000000000000
2026/09/24 11:01:46.445, 666 MiB, 60 %, 62, 2460 MHz, 47.36 W, 0x0000000000000000
2026/09/24 11:01:48.448, 666 MiB, 60 %, 63, 2460 MHz, 49.77 W, 0x0000000000000000
2026/09/24 11:01:50.451, 666 MiB, 60 %, 63, 2460 MHz, 49.46 W, 0x0000000000000000
2026/09/24 11:01:52.457, 666 MiB, 60 %, 63, 2460 MHz, 49.01 W, 0x0000000000000000
2026/09/24 11:01:54.460, 666 MiB, 55 %, 64, 2460 MHz, 49.61 W, 0x0000000000000000
2026/09/24 11:01:56.474, 666 MiB, 57 %, 65, 2460 MHz, 49.40 W, 0x0000000000000000
2026/09/24 11:01:58.479, 666 MiB, 57 %, 65, 2460 MHz, 49.48 W, 0x0000000000000000
2026/09/24 11:02:00.487, 666 MiB, 57 %, 65, 2460 MHz, 50.95 W, 0x0000000000000000
2026/09/24 11:02:02.503, 666 MiB, 55 %, 66, 2460 MHz, 50.09 W, 0x0000000000000000
2026/09/24 11:02:04.504, 666 MiB, 58 %, 66, 2460 MHz, 51.03 W, 0x0000000000000000
2026/09/24 11:02:06.507, 666 MiB, 58 %, 67, 2460 MHz, 51.22 W, 0x0000000000000000
2026/09/24 11:02:08.522, 666 MiB, 57 %, 67, 2460 MHz, 50.34 W, 0x0000000000000000
2026/09/24 11:02:10.526, 666 MiB, 56 %, 67, 2460 MHz, 46.94 W, 0x0000000000000000
2026/09/24 11:02:12.537, 666 MiB, 58 %, 67, 2460 MHz, 51.85 W, 0x0000000000000000
2026/09/24 11:02:14.547, 666 MiB, 58 %, 68, 2460 MHz, 51.92 W, 0x0000000000000000
2026/09/24 11:02:16.549, 666 MiB, 10 %, 67, 2460 MHz, 49.26 W, 0x0000000000000000
2026/09/24 11:02:18.552, 666 MiB, 58 %, 68, 2460 MHz, 51.71 W, 0x0000000000000000
2026/09/24 11:02:20.566, 666 MiB, 56 %, 68, 2460 MHz, 51.85 W, 0x0000000000000000
2026/09/24 11:02:22.581, 666 MiB, 56 %, 69, 2460 MHz, 51.77 W, 0x0000000000000000
2026/09/24 11:02:24.594, 666 MiB, 58 %, 69, 2460 MHz, 51.78 W, 0x0000000000000000
2026/09/24 11:02:26.607, 666 MiB, 57 %, 69, 2460 MHz, 44.48 W, 0x0000000000000000
2026/09/24 11:02:28.622, 666 MiB, 57 %, 69, 2460 MHz, 51.36 W, 0x0000000000000000
2026/09/24 11:02:30.632, 666 MiB, 56 %, 69, 2460 MHz, 50.89 W, 0x0000000000000000
2026/09/24 11:02:32.636, 666 MiB, 61 %, 69, 2460 MHz, 50.64 W, 0x0000000000000000
2026/09/24 11:02:34.641, 666 MiB, 60 %, 69, 2460 MHz, 50.16 W, 0x0000000000000000
2026/09/24 11:02:36.643, 666 MiB, 60 %, 69, 2460 MHz, 50.41 W, 0x0000000000000000
2026/09/24 11:02:38.661, 666 MiB, 56 %, 70, 2460 MHz, 51.71 W, 0x0000000000000000
2026/09/24 11:02:40.677, 666 MiB, 57 %, 70, 2460 MHz, 51.44 W, 0x0000000000000000
2026/09/24 11:02:42.686, 666 MiB, 56 %, 70, 2460 MHz, 52.00 W, 0x0000000000000000
2026/09/24 11:02:44.696, 666 MiB, 59 %, 70, 2460 MHz, 50.57 W, 0x0000000000000000
2026/09/24 11:02:46.698, 666 MiB, 59 %, 70, 2460 MHz, 50.90 W, 0x0000000000000000
2026/09/24 11:02:48.700, 666 MiB, 61 %, 70, 2460 MHz, 50.91 W, 0x0000000000000000
2026/09/24 11:02:50.705, 666 MiB, 58 %, 71, 2460 MHz, 52.30 W, 0x0000000000000000
2026/09/24 11:02:52.719, 666 MiB, 57 %, 71, 2460 MHz, 52.13 W, 0x0000000000000000
2026/09/24 11:02:54.727, 666 MiB, 59 %, 71, 2460 MHz, 53.08 W, 0x0000000000000000
2026/09/24 11:02:56.729, 666 MiB, 58 %, 71, 2460 MHz, 50.68 W, 0x0000000000000000
2026/09/24 11:02:58.732, 666 MiB, 58 %, 71, 2460 MHz, 52.24 W, 0x0000000000000000
2026/09/24 11:03:00.737, 666 MiB, 58 %, 72, 2460 MHz, 52.98 W, 0x0000000000000000
2026/09/24 11:03:02.739, 666 MiB, 58 %, 72, 2460 MHz, 52.79 W, 0x0000000000000000
2026/09/24 11:03:04.745, 666 MiB, 58 %, 72, 2460 MHz, 52.90 W, 0x0000000000000000
2026/09/24 11:03:06.760, 666 MiB, 59 %, 72, 2460 MHz, 52.40 W, 0x0000000000000000
2026/09/24 11:03:08.769, 666 MiB, 56 %, 72, 2460 MHz, 52.32 W, 0x0000000000000000
2026/09/24 11:03:10.771, 666 MiB, 56 %, 71, 2460 MHz, 50.04 W, 0x0000000000000000
2026/09/24 11:03:12.778, 666 MiB, 57 %, 72, 2460 MHz, 52.73 W, 0x0000000000000000
2026/09/24 11:03:14.789, 666 MiB, 57 %, 72, 2460 MHz, 53.48 W, 0x0000000000000000
2026/09/24 11:03:16.792, 666 MiB, 57 %, 73, 2460 MHz, 53.26 W, 0x0000000000000000
2026/09/24 11:03:18.794, 666 MiB, 58 %, 73, 2460 MHz, 53.45 W, 0x0000000000000000
2026/09/24 11:03:20.805, 666 MiB, 58 %, 73, 2460 MHz, 53.26 W, 0x0000000000000000
2026/09/24 11:03:22.812, 666 MiB, 58 %, 73, 2460 MHz, 53.01 W, 0x0000000000000000
2026/09/24 11:03:24.820, 666 MiB, 57 %, 73, 2460 MHz, 53.61 W, 0x0000000000000000
2026/09/24 11:03:26.822, 666 MiB, 58 %, 73, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:03:28.824, 666 MiB, 58 %, 73, 2460 MHz, 53.27 W, 0x0000000000000000
2026/09/24 11:03:30.827, 666 MiB, 58 %, 73, 2460 MHz, 53.65 W, 0x0000000000000000
2026/09/24 11:03:32.830, 666 MiB, 58 %, 73, 2460 MHz, 53.30 W, 0x0000000000000000
2026/09/24 11:03:34.835, 666 MiB, 57 %, 73, 2460 MHz, 53.53 W, 0x0000000000000000
2026/09/24 11:03:36.837, 666 MiB, 57 %, 73, 2460 MHz, 53.69 W, 0x0000000000000000
2026/09/24 11:03:38.839, 666 MiB, 57 %, 73, 2460 MHz, 53.53 W, 0x0000000000000000
2026/09/24 11:03:40.841, 666 MiB, 58 %, 73, 2460 MHz, 53.60 W, 0x0000000000000000
2026/09/24 11:03:42.856, 666 MiB, 57 %, 73, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:03:44.863, 666 MiB, 57 %, 73, 2460 MHz, 53.74 W, 0x0000000000000000
2026/09/24 11:03:46.865, 666 MiB, 58 %, 73, 2460 MHz, 53.64 W, 0x0000000000000000
2026/09/24 11:03:48.868, 666 MiB, 56 %, 73, 2460 MHz, 51.77 W, 0x0000000000000000
2026/09/24 11:03:50.873, 666 MiB, 58 %, 73, 2460 MHz, 53.59 W, 0x0000000000000000
2026/09/24 11:03:52.888, 666 MiB, 57 %, 74, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:03:54.893, 666 MiB, 57 %, 73, 2460 MHz, 53.59 W, 0x0000000000000000
2026/09/24 11:03:56.909, 666 MiB, 58 %, 73, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:03:58.913, 666 MiB, 56 %, 73, 2460 MHz, 53.57 W, 0x0000000000000000
2026/09/24 11:04:00.928, 666 MiB, 58 %, 73, 2460 MHz, 53.28 W, 0x0000000000000000
2026/09/24 11:04:02.937, 666 MiB, 58 %, 74, 2460 MHz, 53.53 W, 0x0000000000000000
2026/09/24 11:04:04.940, 666 MiB, 57 %, 74, 2460 MHz, 53.54 W, 0x0000000000000000
