2026/09/24 11:37:56.047, 347 MiB, 0 %, 51, 210 MHz, 2.21 W, 0x0000000000000001
2026/09/24 11:37:57.048, 1033 MiB, 7 %, 52, 2130 MHz, 10.01 W, 0x0000000000000000
2026/09/24 11:37:58.053, 1097 MiB, 0 %, 52, 2130 MHz, 15.50 W, 0x0000000000000000
2026/09/24 11:37:59.068, 1353 MiB, 0 %, 52, 2130 MHz, 15.02 W, 0x0000000000000000
2026/09/24 11:38:00.072, 1353 MiB, 2 %, 52, 2130 MHz, 15.05 W, 0x0000000000000000
2026/09/24 11:38:01.083, 1417 MiB, 0 %, 53, 2130 MHz, 18.87 W, 0x0000000000000000
2026/09/24 11:38:02.089, 1417 MiB, 0 %, 52, 2130 MHz, 16.94 W, 0x0000000000000000
2026/09/24 11:38:03.101, 1417 MiB, 0 %, 53, 2475 MHz, 26.60 W, 0x0000000000000000
2026/09/24 11:38:04.105, 1481 MiB, 68 %, 58, 2475 MHz, 29.89 W, 0x0000000000000000
2026/09/24 11:38:05.114, 1481 MiB, 60 %, 60, 2475 MHz, 53.21 W, 0x0000000000000000
2026/09/24 11:38:06.129, 1481 MiB, 66 %, 61, 2475 MHz, 53.90 W, 0x0000000000000000
2026/09/24 11:38:07.137, 1481 MiB, 67 %, 61, 2475 MHz, 55.31 W, 0x0000000000000000
2026/09/24 11:38:08.152, 1481 MiB, 63 %, 61, 2460 MHz, 55.46 W, 0x0000000000000000
2026/09/24 11:38:09.165, 1481 MiB, 68 %, 63, 2460 MHz, 56.67 W, 0x0000000000000000
2026/09/24 11:38:10.174, 1481 MiB, 69 %, 63, 2460 MHz, 55.90 W, 0x0000000000000000
2026/09/24 11:38:11.188, 1481 MiB, 68 %, 63, 2460 MHz, 56.07 W, 0x0000000000000000
2026/09/24 11:38:12.202, 1481 MiB, 58 %, 63, 2460 MHz, 56.49 W, 0x0000000000000000
2026/09/24 11:38:13.203, 1481 MiB, 68 %, 63, 2460 MHz, 56.16 W, 0x0000000000000000
2026/09/24 11:38:14.216, 1481 MiB, 70 %, 64, 2460 MHz, 56.12 W, 0x0000000000000000
2026/09/24 11:38:15.229, 1481 MiB, 55 %, 62, 2460 MHz, 56.21 W, 0x0000000000000000
2026/09/24 11:38:16.237, 1481 MiB, 68 %, 64, 2460 MHz, 55.82 W, 0x0000000000000000
2026/09/24 11:38:17.238, 1609 MiB, 4 %, 58, 2460 MHz, 25.45 W, 0x0000000000000000
2026/09/24 11:38:18.244, 1609 MiB, 0 %, 57, 2130 MHz, 19.20 W, 0x0000000000000000
2026/09/24 11:38:19.257, 1897 MiB, 0 %, 56, 2130 MHz, 15.44 W, 0x0000000000000000
2026/09/24 11:38:20.258, 2921 MiB, 64 %, 59, 2130 MHz, 18.90 W, 0x0000000000000000
2026/09/24 11:38:21.260, 2953 MiB, 64 %, 59, 2130 MHz, 22.88 W, 0x0000000000000000
2026/09/24 11:38:22.269, 3017 MiB, 1 %, 57, 2475 MHz, 29.90 W, 0x0000000000000000
2026/09/24 11:38:23.270, 3049 MiB, 82 %, 65, 2460 MHz, 49.56 W, 0x0000000000000004
2026/09/24 11:38:24.273, 3049 MiB, 75 %, 64, 2460 MHz, 61.88 W, 0x0000000000000000
2026/09/24 11:38:25.278, 3049 MiB, 73 %, 65, 2460 MHz, 62.82 W, 0x0000000000000000
2026/09/24 11:38:26.285, 3049 MiB, 85 %, 65, 2460 MHz, 61.53 W, 0x0000000000000004
2026/09/24 11:38:27.290, 3049 MiB, 83 %, 66, 2460 MHz, 62.61 W, 0x0000000000000004
2026/09/24 11:38:28.295, 3049 MiB, 81 %, 66, 2445 MHz, 62.65 W, 0x0000000000000004
2026/09/24 11:38:29.299, 3049 MiB, 61 %, 66, 2460 MHz, 62.71 W, 0x0000000000000004
2026/09/24 11:38:30.309, 3049 MiB, 82 %, 64, 2460 MHz, 63.26 W, 0x0000000000000004
2026/09/24 11:38:31.317, 3049 MiB, 83 %, 67, 2370 MHz, 62.64 W, 0x0000000000000004
2026/09/24 11:38:32.327, 3049 MiB, 84 %, 67, 2370 MHz, 62.22 W, 0x0000000000000004
