2026/09/24 11:41:02.510, 347 MiB, 0 %, 43, 210 MHz, 2.22 W, 0x0000000000000001
2026/09/24 11:41:04.514, 347 MiB, 0 %, 43, 210 MHz, 2.21 W, 0x0000000000000001
2026/09/24 11:41:06.529, 489 MiB, 0 %, 42, 210 MHz, 2.22 W, 0x0000000000000001
2026/09/24 11:41:08.533, 553 MiB, 0 %, 44, 2130 MHz, 14.52 W, 0x0000000000000000
2026/09/24 11:41:10.545, 681 MiB, 68 %, 54, 2475 MHz, 44.47 W, 0x0000000000000000
2026/09/24 11:41:12.548, 681 MiB, 69 %, 56, 2475 MHz, 62.17 W, 0x0000000000000000
2026/09/24 11:41:14.556, 681 MiB, 70 %, 58, 2475 MHz, 63.06 W, 0x0000000000000000
2026/09/24 11:41:16.571, 681 MiB, 67 %, 59, 2460 MHz, 63.89 W, 0x0000000000000000
2026/09/24 11:41:18.583, 681 MiB, 69 %, 60, 2460 MHz, 64.04 W, 0x0000000000000000
2026/09/24 11:41:20.590, 681 MiB, 67 %, 61, 2460 MHz, 64.34 W, 0x0000000000000000
2026/09/24 11:41:22.596, 937 MiB, 69 %, 61, 2460 MHz, 62.12 W, 0x0000000000000000
2026/09/24 11:41:24.607, 937 MiB, 69 %, 62, 2460 MHz, 64.31 W, 0x0000000000000000
2026/09/24 11:41:26.619, 937 MiB, 68 %, 62, 2460 MHz, 64.24 W, 0x0000000000000000
2026/09/24 11:41:28.626, 937 MiB, 67 %, 63, 2460 MHz, 57.45 W, 0x0000000000000000
2026/09/24 11:41:30.642, 937 MiB, 69 %, 64, 2460 MHz, 64.96 W, 0x0000000000000000
2026/09/24 11:41:32.651, 937 MiB, 69 %, 64, 2460 MHz, 65.27 W, 0x0000000000000000
2026/09/24 11:41:34.667, 937 MiB, 70 %, 65, 2460 MHz, 65.45 W, 0x0000000000000000
2026/09/24 11:41:36.673, 937 MiB, 68 %, 66, 2460 MHz, 65.46 W, 0x0000000000000004
2026/09/24 11:41:38.680, 937 MiB, 69 %, 66, 2460 MHz, 65.71 W, 0x0000000000000004
2026/09/24 11:41:40.692, 937 MiB, 69 %, 67, 2460 MHz, 65.54 W, 0x0000000000000004
2026/09/24 11:41:42.695, 937 MiB, 33 %, 63, 2460 MHz, 45.72 W, 0x0000000000000000
2026/09/24 11:41:44.697, 937 MiB, 34 %, 60, 2175 MHz, 34.74 W, 0x0000000000000001
2026/09/24 11:41:46.711, 937 MiB, 35 %, 58, 1995 MHz, 29.43 W, 0x0000000000000001
2026/09/24 11:41:48.721, 937 MiB, 34 %, 58, 1950 MHz, 27.64 W, 0x0000000000000001
2026/09/24 11:41:50.728, 937 MiB, 35 %, 58, 1875 MHz, 27.59 W, 0x0000000000000001
2026/09/24 11:41:52.736, 937 MiB, 37 %, 58, 1800 MHz, 25.30 W, 0x0000000000000001
2026/09/24 11:41:54.744, 937 MiB, 41 %, 56, 1665 MHz, 22.60 W, 0x0000000000000001
2026/09/24 11:41:56.753, 937 MiB, 36 %, 56, 1530 MHz, 20.44 W, 0x0000000000000001
2026/09/24 11:41:58.761, 937 MiB, 39 %, 55, 1485 MHz, 19.53 W, 0x0000000000000001
2026/09/24 11:42:00.776, 937 MiB, 41 %, 55, 1455 MHz, 18.84 W, 0x0000000000000001
2026/09/24 11:42:02.780, 937 MiB, 37 %, 54, 1440 MHz, 18.54 W, 0x0000000000000001
2026/09/24 11:42:04.790, 937 MiB, 33 %, 54, 1425 MHz, 16.84 W, 0x0000000000000001
2026/09/24 11:42:06.800, 937 MiB, 38 %, 54, 1335 MHz, 17.86 W, 0x0000000000000001
2026/09/24 11:42:08.811, 937 MiB, 50 %, 53, 960 MHz, 15.04 W, 0x0000000000000001
2026/09/24 11:42:10.813, 937 MiB, 52 %, 53, 945 MHz, 14.30 W, 0x0000000000000001
2026/09/24 11:42:12.822, 937 MiB, 52 %, 52, 930 MHz, 14.08 W, 0x0000000000000001
2026/09/24 11:42:14.833, 937 MiB, 48 %, 52, 945 MHz, 13.66 W, 0x0000000000000001
2026/09/24 11:42:16.839, 937 MiB, 50 %, 52, 750 MHz, 12.86 W, 0x0000000000000001
2026/09/24 11:42:18.847, 937 MiB, 48 %, 51, 765 MHz, 12.62 W, 0x0000000000000001
2026/09/24 11:42:20.853, 937 MiB, 54 %, 51, 570 MHz, 12.14 W, 0x0000000000000001
