2026/09/25 10:22:19.790, 230 MiB, 43 %, 36, 210 MHz, 5.76 W, 0x0000000000000001
2026/09/25 10:22:21.804, 230 MiB, 42 %, 36, 210 MHz, 6.08 W, 0x0000000000000001
2026/09/25 10:22:23.819, 437 MiB, 10 %, 37, 2130 MHz, 8.43 W, 0x0000000000000000
2026/09/25 10:22:25.828, 501 MiB, 21 %, 38, 2130 MHz, 16.38 W, 0x0000000000000000
2026/09/25 10:22:27.832, 757 MiB, 48 %, 44, 2475 MHz, 30.78 W, 0x0000000000000000
2026/09/25 10:22:29.845, 757 MiB, 51 %, 45, 2475 MHz, 36.00 W, 0x0000000000000000
2026/09/25 10:22:31.856, 757 MiB, 47 %, 45, 2475 MHz, 35.80 W, 0x0000000000000000
2026/09/25 10:22:33.862, 757 MiB, 36 %, 41, 1665 MHz, 21.61 W, 0x0000000000000001
2026/09/25 10:22:35.872, 757 MiB, 8 %, 39, 1725 MHz, 14.46 W, 0x0000000000000001
2026/09/25 10:22:37.884, 757 MiB, 70 %, 49, 2475 MHz, 60.10 W, 0x0000000000000000
2026/09/25 10:22:39.887, 757 MiB, 68 %, 51, 2475 MHz, 60.67 W, 0x0000000000000000
2026/09/25 10:22:41.890, 757 MiB, 72 %, 52, 2475 MHz, 59.24 W, 0x0000000000000000
2026/09/25 10:22:43.902, 757 MiB, 68 %, 53, 2475 MHz, 61.47 W, 0x0000000000000000
2026/09/25 10:22:45.917, 757 MiB, 70 %, 54, 2475 MHz, 61.34 W, 0x0000000000000000
2026/09/25 10:22:47.921, 757 MiB, 68 %, 55, 2475 MHz, 60.94 W, 0x0000000000000000
2026/09/25 10:22:49.927, 757 MiB, 68 %, 56, 2475 MHz, 61.34 W, 0x0000000000000000
2026/09/25 10:22:51.943, 757 MiB, 68 %, 55, 2475 MHz, 61.65 W, 0x0000000000000000
2026/09/25 10:22:53.958, 757 MiB, 70 %, 57, 2475 MHz, 61.72 W, 0x0000000000000000
2026/09/25 10:22:55.959, 757 MiB, 70 %, 57, 2475 MHz, 60.04 W, 0x0000000000000000
2026/09/25 10:22:57.962, 757 MiB, 69 %, 58, 2460 MHz, 61.62 W, 0x0000000000000000
2026/09/25 10:22:59.964, 757 MiB, 69 %, 58, 2460 MHz, 60.79 W, 0x0000000000000000
