2026/09/24 17:01:12.456, 75 MiB, 0 %, 48, 210 MHz, 2.19 W, 0x0000000000000001
2026/09/24 17:01:14.465, 346 MiB, 52 %, 51, 2130 MHz, 19.86 W, 0x0000000000000000
2026/09/24 17:01:16.481, 602 MiB, 32 %, 55, 2475 MHz, 40.34 W, 0x0000000000000000
2026/09/24 17:01:18.486, 602 MiB, 27 %, 54, 2475 MHz, 35.25 W, 0x0000000000000000
2026/09/24 17:01:20.495, 602 MiB, 5 %, 51, 1170 MHz, 15.11 W, 0x0000000000000001
2026/09/24 17:01:22.504, 602 MiB, 70 %, 62, 2460 MHz, 65.07 W, 0x0000000000000000
2026/09/24 17:01:24.507, 602 MiB, 71 %, 64, 2460 MHz, 65.13 W, 0x0000000000000004
2026/09/24 17:01:26.516, 602 MiB, 70 %, 65, 2445 MHz, 66.53 W, 0x0000000000000004
2026/09/24 17:01:28.529, 602 MiB, 70 %, 66, 2460 MHz, 66.41 W, 0x0000000000000004
2026/09/24 17:01:30.541, 602 MiB, 32 %, 62, 2460 MHz, 62.22 W, 0x0000000000000000
2026/09/24 17:01:32.549, 602 MiB, 37 %, 63, 2460 MHz, 49.01 W, 0x0000000000000000
2026/09/24 17:01:34.558, 602 MiB, 39 %, 63, 2460 MHz, 48.50 W, 0x0000000000000000
2026/09/24 17:01:36.566, 602 MiB, 48 %, 61, 2460 MHz, 45.42 W, 0x0000000000000000
2026/09/24 17:01:38.570, 602 MiB, 37 %, 65, 2460 MHz, 45.39 W, 0x0000000000000000
2026/09/24 17:01:40.580, 602 MiB, 32 %, 63, 2460 MHz, 46.92 W, 0x0000000000000000
2026/09/24 17:01:42.584, 602 MiB, 41 %, 62, 2460 MHz, 46.61 W, 0x0000000000000000
2026/09/24 17:01:44.590, 602 MiB, 33 %, 62, 2460 MHz, 46.83 W, 0x0000000000000000
2026/09/24 17:01:46.593, 602 MiB, 39 %, 63, 2460 MHz, 48.25 W, 0x0000000000000000
2026/09/24 17:01:48.607, 602 MiB, 59 %, 63, 2460 MHz, 49.46 W, 0x0000000000000000
2026/09/24 17:01:50.609, 602 MiB, 68 %, 66, 2460 MHz, 58.15 W, 0x0000000000000000
2026/09/24 17:01:52.612, 602 MiB, 68 %, 68, 2460 MHz, 60.47 W, 0x0000000000000000
2026/09/24 17:01:54.618, 602 MiB, 65 %, 69, 2460 MHz, 58.48 W, 0x0000000000000000
2026/09/24 17:01:56.625, 602 MiB, 65 %, 69, 2460 MHz, 58.96 W, 0x0000000000000000
2026/09/24 17:01:58.630, 602 MiB, 64 %, 69, 2460 MHz, 62.23 W, 0x0000000000000000
2026/09/24 17:02:00.630, 602 MiB, 60 %, 70, 2460 MHz, 61.91 W, 0x0000000000000000
